date,home_team,away_team,home_score,away_score,home_won
2022-01-02,Miami Heat,Brooklyn Nets,124,99,True
2022-01-02,Miami Heat,Milwaukee Bucks,128,134,False
2022-01-02,Chicago Bulls,Detroit Pistons,117,115,True
2022-01-02,Miami Heat,Brooklyn Nets,98,119,False
2022-01-02,Golden State Warriors,Minnesota Timberwolves,101,118,False
2022-01-02,Brooklyn Nets,Atlanta Hawks,131,95,True
2022-01-02,LA Lakers,Denver Nuggets,94,105,False
2022-01-02,Memphis Grizzlies,Oklahoma City Thunder,105,107,False
2022-01-02,Miami Heat,Atlanta Hawks,112,110,True
2022-01-02,Phoenix Suns,Milwaukee Bucks,107,136,False
2022-01-03,Golden State Warriors,San Antonio Spurs,129,108,True
2022-01-03,Washington Wizards,Memphis Grizzlies,125,115,True
2022-01-03,Phoenix Suns,Toronto Raptors,105,96,True
2022-01-03,Portland Trail Blazers,Toronto Raptors,108,96,True
2022-01-03,Boston Celtics,Milwaukee Bucks,116,117,False
2022-01-04,Washington Wizards,Orlando Magic,116,111,True
2022-01-04,Phoenix Suns,Chicago Bulls,128,97,True
2022-01-04,Indiana Pacers,San Antonio Spurs,117,113,True
2022-01-04,Utah Jazz,Philadelphia 76ers,101,85,True
2022-01-04,Detroit Pistons,LA Clippers,136,104,True
2022-01-04,Indiana Pacers,Oklahoma City Thunder,87,122,False
2022-01-04,Dallas Mavericks,Orlando Magic,112,104,True
2022-01-04,Atlanta Hawks,Sacramento Kings,113,106,True
2022-01-04,LA Lakers,Houston Rockets,119,97,True
2022-01-04,Memphis Grizzlies,Chicago Bulls,120,110,True
2022-01-05,Portland Trail Blazers,Utah Jazz,108,113,False
2022-01-05,Detroit Pistons,Portland Trail Blazers,125,98,True
2022-01-05,Charlotte Hornets,Chicago Bulls,106,107,False
2022-01-05,Atlanta Hawks,Dallas Mavericks,107,126,False
2022-01-05,Utah Jazz,Philadelphia 76ers,119,128,False
2022-01-05,Washington Wizards,Portland Trail Blazers,127,128,False
2022-01-05,Miami Heat,Denver Nuggets,117,119,False
2022-01-05,New York Knicks,Boston Celtics,122,119,True
2022-01-05,LA Clippers,Utah Jazz,114,107,True
2022-01-05,Sacramento Kings,Atlanta Hawks,134,127,True
2022-01-05,Denver Nuggets,Miami Heat,119,103,True
2022-01-06,Oklahoma City Thunder,Golden State Warriors,113,104,True
2022-01-06,Washington Wizards,Memphis Grizzlies,116,107,True
2022-01-06,Chicago Bulls,Brooklyn Nets,103,97,True
2022-01-06,Indiana Pacers,Philadelphia 76ers,133,125,True
2022-01-06,Toronto Raptors,LA Clippers,121,127,False
2022-01-07,LA Lakers,Chicago Bulls,131,102,True
2022-01-07,Memphis Grizzlies,Washington Wizards,119,112,True
2022-01-07,Brooklyn Nets,Denver Nuggets,92,129,False
2022-01-07,Memphis Grizzlies,Houston Rockets,122,120,True
2022-01-07,Charlotte Hornets,Milwaukee Bucks,105,110,False
2022-01-08,New Orleans Pelicans,Memphis Grizzlies,127,119,True
2022-01-08,Phoenix Suns,Dallas Mavericks,116,110,True
2022-01-08,Philadelphia 76ers,Houston Rockets,119,117,True
2022-01-08,Cleveland Cavaliers,Atlanta Hawks,105,117,False
2022-01-08,Miami Heat,Cleveland Cavaliers,106,89,True
2022-01-08,Orlando Magic,LA Clippers,111,133,False
2022-01-08,Oklahoma City Thunder,Boston Celtics,103,104,False
2022-01-08,LA Lakers,Orlando Magic,118,131,False
2022-01-08,Atlanta Hawks,Washington Wizards,111,116,False
2022-01-08,Boston Celtics,Dallas Mavericks,118,92,True
2022-01-08,Charlotte Hornets,Milwaukee Bucks,97,111,False
2022-01-09,Philadelphia 76ers,Cleveland Cavaliers,121,115,True
2022-01-09,Dallas Mavericks,Toronto Raptors,133,124,True
2022-01-09,Phoenix Suns,New York Knicks,113,115,False
2022-01-09,Denver Nuggets,Memphis Grizzlies,119,114,True
2022-01-09,Orlando Magic,Boston Celtics,112,113,False
2022-01-09,Boston Celtics,Phoenix Suns,111,108,True
2022-01-09,Houston Rockets,Detroit Pistons,116,124,False
2022-01-09,Brooklyn Nets,Houston Rockets,124,95,True
2022-01-09,Boston Celtics,Sacramento Kings,119,100,True
2022-01-09,Denver Nuggets,Golden State Warriors,136,105,True
2022-01-09,Toronto Raptors,Houston Rockets,132,97,True
2022-01-09,Chicago Bulls,Milwaukee Bucks,103,129,False
2022-01-10,Charlotte Hornets,Houston Rockets,126,135,False
2022-01-10,Philadelphia 76ers,Detroit Pistons,123,119,True
2022-01-10,LA Clippers,Denver Nuggets,115,113,True
2022-01-10,Atlanta Hawks,LA Lakers,87,135,False
2022-01-10,Toronto Raptors,Sacramento Kings,97,110,False
2022-01-10,Portland Trail Blazers,Minnesota Timberwolves,110,106,True
2022-01-10,Washington Wizards,Atlanta Hawks,118,95,True
2022-01-10,Cleveland Cavaliers,Atlanta Hawks,110,91,True
2022-01-10,New York Knicks,Oklahoma City Thunder,108,126,False
2022-01-10,Detroit Pistons,Indiana Pacers,119,120,False
2022-01-10,Memphis Grizzlies,Phoenix Suns,123,99,True
2022-01-11,New York Knicks,New Orleans Pelicans,99,113,False
2022-01-11,Charlotte Hornets,Brooklyn Nets,117,103,True
2022-01-11,Orlando Magic,Boston Celtics,117,119,False
2022-01-11,New Orleans Pelicans,Minnesota Timberwolves,128,131,False
2022-01-11,Dallas Mavericks,Golden State Warriors,121,129,False
2022-01-11,LA Lakers,Philadelphia 76ers,118,104,True
2022-01-11,Brooklyn Nets,Cleveland Cavaliers,110,97,True
2022-01-11,Utah Jazz,Miami Heat,112,122,False
2022-01-11,Detroit Pistons,Orlando Magic,115,108,True
2022-01-11,Phoenix Suns,Houston Rockets,109,103,True
2022-01-11,Miami Heat,Cleveland Cavaliers,124,111,True
2022-01-11,Philadelphia 76ers,Cleveland Cavaliers,116,98,True
2022-01-12,LA Lakers,Milwaukee Bucks,111,119,False
2022-01-12,LA Clippers,New York Knicks,122,97,True
2022-01-12,New Orleans Pelicans,Houston Rockets,108,113,False
2022-01-12,Portland Trail Blazers,Chicago Bulls,105,102,True
2022-01-12,Portland Trail Blazers,San Antonio Spurs,121,97,True
2022-01-12,Utah Jazz,Detroit Pistons,120,98,True
2022-01-12,Golden State Warriors,Boston Celtics,109,126,False
2022-01-12,Detroit Pistons,Golden State Warriors,128,136,False
2022-01-12,Charlotte Hornets,Chicago Bulls,106,115,False
2022-01-12,Dallas Mavericks,Miami Heat,132,103,True
2022-01-12,Atlanta Hawks,Detroit Pistons,123,118,True
2022-01-12,San Antonio Spurs,Charlotte Hornets,90,115,False
2022-01-13,LA Clippers,Dallas Mavericks,110,92,True
2022-01-13,New York Knicks,Denver Nuggets,133,125,True
2022-01-13,Atlanta Hawks,Orlando Magic,113,97,True
2022-01-13,Detroit Pistons,New Orleans Pelicans,124,109,True
2022-01-13,Dallas Mavericks,Charlotte Hornets,98,97,True
2022-01-13,Minnesota Timberwolves,Utah Jazz,123,98,True
2022-01-13,Washington Wizards,LA Clippers,111,119,False
2022-01-13,Oklahoma City Thunder,Philadelphia 76ers,115,110,True
2022-01-14,LA Clippers,Washington Wizards,122,118,True
2022-01-14,Milwaukee Bucks,Dallas Mavericks,97,103,False
2022-01-14,Atlanta Hawks,New York Knicks,116,125,False
2022-01-14,Houston Rockets,Philadelphia 76ers,117,101,True
2022-01-14,Toronto Raptors,Minnesota Timberwolves,107,106,True
2022-01-14,Miami Heat,Houston Rockets,127,120,True
2022-01-14,LA Lakers,Denver Nuggets,108,97,True
2022-01-14,Boston Celtics,Golden State Warriors,112,102,True
2022-01-14,New Orleans Pelicans,Minnesota Timberwolves,115,94,True
2022-01-14,Minnesota Timberwolves,Brooklyn Nets,115,104,True
2022-01-14,Atlanta Hawks,Milwaukee Bucks,110,116,False
2022-01-14,New York Knicks,New Orleans Pelicans,113,96,True
2022-01-14,Orlando Magic,San Antonio Spurs,121,89,True
2022-01-15,Memphis Grizzlies,Indiana Pacers,116,114,True
2022-01-15,Charlotte Hornets,Atlanta Hawks,106,99,True
2022-01-15,Brooklyn Nets,San Antonio Spurs,129,119,True
2022-01-15,Minnesota Timberwolves,Sacramento Kings,112,108,True
2022-01-15,San Antonio Spurs,Dallas Mavericks,114,111,True
2022-01-15,Cleveland Cavaliers,Sacramento Kings,119,107,True
2022-01-15,Milwaukee Bucks,Cleveland Cavaliers,103,85,True
2022-01-15,Milwaukee Bucks,Denver Nuggets,113,111,True
2022-01-15,Utah Jazz,Washington Wizards,107,97,True
2022-01-15,Miami Heat,Golden State Warriors,127,122,True
2022-01-15,Atlanta Hawks,Oklahoma City Thunder,120,122,False
2022-01-15,Orlando Magic,Portland Trail Blazers,130,107,True
2022-01-15,Houston Rockets,LA Clippers,110,112,False
2022-01-15,Cleveland Cavaliers,Toronto Raptors,126,112,True
2022-01-16,Miami Heat,Detroit Pistons,101,112,False
2022-01-16,Orlando Magic,Portland Trail Blazers,122,119,True
2022-01-16,Miami Heat,Detroit Pistons,113,85,True
2022-01-16,Atlanta Hawks,Detroit Pistons,125,112,True
2022-01-16,Houston Rockets,Memphis Grizzlies,108,110,False
2022-01-16,Indiana Pacers,Orlando Magic,109,107,True
2022-01-16,Portland Trail Blazers,Indiana Pacers,126,105,True
2022-01-16,Philadelphia 76ers,Dallas Mavericks,119,114,True
2022-01-16,Houston Rockets,Memphis Grizzlies,114,92,True
2022-01-17,LA Lakers,Milwaukee Bucks,117,108,True
2022-01-17,Charlotte Hornets,Sacramento Kings,97,123,False
2022-01-17,New Orleans Pelicans,Washington Wizards,128,104,True
2022-01-17,New Orleans Pelicans,Memphis Grizzlies,112,95,True
2022-01-17,Washington Wizards,Boston Celtics,116,100,True
2022-01-17,Philadelphia 76ers,Cleveland Cavaliers,115,102,True
2022-01-17,Brooklyn Nets,Indiana Pacers,122,128,False
2022-01-18,New Orleans Pelicans,Orlando Magic,86,117,False
2022-01-18,Minnesota Timberwolves,Washington Wizards,118,104,True
2022-01-18,Minnesota Timberwolves,Indiana Pacers,100,93,True
2022-01-18,Orlando Magic,Boston Celtics,117,119,False
2022-01-18,Houston Rockets,LA Lakers,103,102,True
2022-01-18,Memphis Grizzlies,Milwaukee Bucks,108,103,True
2022-01-18,Denver Nuggets,Portland Trail Blazers,113,108,True
2022-01-18,Denver Nuggets,Cleveland Cavaliers,105,102,True
2022-01-18,LA Lakers,Toronto Raptors,116,109,True
2022-01-19,Memphis Grizzlies,Detroit Pistons,114,118,False
2022-01-19,Brooklyn Nets,LA Clippers,98,111,False
2022-01-19,LA Lakers,Detroit Pistons,122,119,True
2022-01-19,Utah Jazz,Boston Celtics,125,85,True
2022-01-19,LA Lakers,Milwaukee Bucks,113,101,True
2022-01-19,Brooklyn Nets,Golden State Warriors,98,120,False
2022-01-19,Dallas Mavericks,Boston Celtics,105,106,False
2022-01-19,Oklahoma City Thunder,Miami Heat,120,107,True
2022-01-19,Utah Jazz,LA Clippers,88,118,False
2022-01-19,Phoenix Suns,Atlanta Hawks,125,87,True
2022-01-20,San Antonio Spurs,Cleveland Cavaliers,119,124,False
2022-01-20,Denver Nuggets,Memphis Grizzlies,124,112,True
2022-01-20,Oklahoma City Thunder,Milwaukee Bucks,123,119,True
2022-01-20,LA Lakers,Utah Jazz,119,113,True
2022-01-20,Brooklyn Nets,Phoenix Suns,97,106,False
2022-01-20,Boston Celtics,Houston Rockets,112,111,True
2022-01-20,Dallas Mavericks,Portland Trail Blazers,123,98,True
2022-01-20,Boston Celtics,Philadelphia 76ers,105,120,False
2022-01-21,Orlando Magic,San Antonio Spurs,119,104,True
2022-01-21,Charlotte Hornets,Phoenix Suns,111,132,False
2022-01-21,Detroit Pistons,Indiana Pacers,98,105,False
2022-01-21,Golden State Warriors,Philadelphia 76ers,118,107,True
2022-01-21,Utah Jazz,Houston Rockets,91,115,False
2022-01-21,Minnesota Timberwolves,Brooklyn Nets,108,86,True
2022-01-21,New York Knicks,San Antonio Spurs,115,106,True
2022-01-21,New Orleans Pelicans,Portland Trail Blazers,122,113,True
2022-01-21,Memphis Grizzlies,Philadelphia 76ers,113,111,True
2022-01-21,Minnesota Timberwolves,Boston Celtics,108,117,False
2022-01-21,LA Clippers,Detroit Pistons,115,108,True
2022-01-22,Minnesota Timberwolves,Chicago Bulls,107,109,False
2022-01-22,Houston Rockets,LA Lakers,117,109,True
2022-01-22,Toronto Raptors,San Antonio Spurs,118,95,True
2022-01-22,Oklahoma City Thunder,Phoenix Suns,131,89,True
2022-01-22,Portland Trail Blazers,Minnesota Timberwolves,100,113,False
2022-01-22,Atlanta Hawks,Sacramento Kings,106,107,False
2022-01-22,LA Clippers,Denver Nuggets,88,104,False
2022-01-22,Phoenix Suns,Atlanta Hawks,95,111,False
2022-01-23,Denver Nuggets,Cleveland Cavaliers,114,108,True
2022-01-23,Chicago Bulls,Golden State Warriors,130,117,True
2022-01-23,Chicago Bulls,Toronto Raptors,112,114,False
2022-01-23,Oklahoma City Thunder,Atlanta Hawks,126,98,True
2022-01-23,New York Knicks,Phoenix Suns,104,107,False
2022-01-24,Phoenix Suns,Detroit Pistons,119,116,True
2022-01-24,Portland Trail Blazers,Toronto Raptors,129,104,True
2022-01-24,Cleveland Cavaliers,San Antonio Spurs,138,132,True
2022-01-24,Toronto Raptors,Detroit Pistons,115,119,False
2022-01-24,Washington Wizards,Philadelphia 76ers,120,109,True
2022-01-24,Dallas Mavericks,Milwaukee Bucks,108,114,False
2022-01-25,Milwaukee Bucks,Brooklyn Nets,120,89,True
2022-01-25,Orlando Magic,LA Clippers,109,94,True
2022-01-25,Memphis Grizzlies,Boston Celtics,108,107,True
2022-01-25,Memphis Grizzlies,New Orleans Pelicans,122,99,True
2022-01-25,Orlando Magic,Memphis Grizzlies,118,104,True
2022-01-25,Detroit Pistons,New York Knicks,128,88,True
2022-01-25,Sacramento Kings,Memphis Grizzlies,108,104,True
2022-01-25,Oklahoma City Thunder,Brooklyn Nets,113,104,True
2022-01-26,San Antonio Spurs,Charlotte Hornets,135,108,True
2022-01-26,Portland Trail Blazers,Dallas Mavericks,105,112,False
2022-01-26,LA Lakers,Orlando Magic,139,135,True
2022-01-26,San Antonio Spurs,Brooklyn Nets,98,112,False
2022-01-26,Sacramento Kings,Utah Jazz,98,103,False
2022-01-26,Miami Heat,Orlando Magic,119,99,True
2022-01-26,Cleveland Cavaliers,Boston Celtics,100,114,False
2022-01-27,Philadelphia 76ers,Detroit Pistons,117,109,True
2022-01-27,Philadelphia 76ers,Portland Trail Blazers,121,120,True
2022-01-27,Phoenix Suns,Portland Trail Blazers,117,104,True
2022-01-27,Dallas Mavericks,Golden State Warriors,101,144,False
2022-01-27,Dallas Mavericks,Charlotte Hornets,106,86,True
2022-01-27,Toronto Raptors,Sacramento Kings,118,102,True
2022-01-27,Chicago Bulls,Orlando Magic,134,109,True
2022-01-27,Memphis Grizzlies,Miami Heat,104,128,False
2022-01-27,Chicago Bulls,Milwaukee Bucks,109,122,False
2022-01-28,Indiana Pacers,San Antonio Spurs,131,86,True
2022-01-28,Memphis Grizzlies,Philadelphia 76ers,120,107,True
2022-01-28,Miami Heat,Minnesota Timberwolves,118,110,True
2022-01-28,Milwaukee Bucks,LA Lakers,119,120,False
2022-01-28,Golden State Warriors,Orlando Magic,111,107,True
2022-01-28,Orlando Magic,Cleveland Cavaliers,106,91,True
2022-01-28,Brooklyn Nets,Sacramento Kings,117,119,False
2022-01-28,LA Lakers,Philadelphia 76ers,91,114,False
2022-01-28,Golden State Warriors,Oklahoma City Thunder,123,126,False
2022-01-28,Golden State Warriors,Atlanta Hawks,120,116,True
2022-01-28,Milwaukee Bucks,Detroit Pistons,116,113,True
2022-01-28,San Antonio Spurs,New Orleans Pelicans,111,117,False
2022-01-28,Golden State Warriors,Orlando Magic,97,99,False
2022-01-29,Washington Wizards,Oklahoma City Thunder,105,110,False
2022-01-29,Utah Jazz,Charlotte Hornets,112,110,True
2022-01-29,Atlanta Hawks,Toronto Raptors,114,95,True
2022-01-29,Indiana Pacers,Oklahoma City Thunder,115,114,True
2022-01-29,Memphis Grizzlies,Charlotte Hornets,99,125,False
2022-01-30,Minnesota Timberwolves,Chicago Bulls,114,107,True
2022-01-30,San Antonio Spurs,New Orleans Pelicans,129,111,True
2022-01-30,LA Lakers,Miami Heat,126,104,True
2022-01-30,LA Lakers,Phoenix Suns,110,101,True
2022-01-30,Milwaukee Bucks,San Antonio Spurs,129,101,True
2022-01-30,Atlanta Hawks,LA Lakers,105,100,True
2022-01-31,Boston Celtics,Dallas Mavericks,118,113,True
2022-01-31,Chicago Bulls,Phoenix Suns,129,95,True
2022-01-31,Indiana Pacers,LA Clippers,90,96,False
2022-01-31,Atlanta Hawks,Oklahoma City Thunder,108,113,False
2022-01-31,Minnesota Timberwolves,Charlotte Hornets,135,94,True
2022-02-01,Indiana Pacers,Minnesota Timberwolves,112,109,True
2022-02-01,Indiana Pacers,Boston Celtics,117,107,True
2022-02-01,Charlotte Hornets,Chicago Bulls,117,109,True
2022-02-01,Chicago Bulls,Dallas Mavericks,111,113,False
2022-02-01,LA Clippers,Dallas Mavericks,104,103,True
2022-02-01,LA Clippers,Brooklyn Nets,117,123,False
2022-02-01,LA Clippers,Miami Heat,109,95,True
2022-02-01,Atlanta Hawks,Boston Celtics,107,95,True
2022-02-01,Memphis Grizzlies,Chicago Bulls,117,108,True
2022-02-01,Memphis Grizzlies,Phoenix Suns,111,116,False
2022-02-01,New Orleans Pelicans,Sacramento Kings,106,111,False
2022-02-01,LA Clippers,Boston Celtics,97,116,False
2022-02-01,Indiana Pacers,Sacramento Kings,117,113,True
2022-02-02,New Orleans Pelicans,Charlotte Hornets,99,132,False
2022-02-02,Washington Wizards,Boston Celtics,117,118,False
2022-02-02,San Antonio Spurs,LA Clippers,87,108,False
2022-02-02,Philadelphia 76ers,Chicago Bulls,89,122,False
2022-02-02,Miami Heat,Chicago Bulls,120,100,True
2022-02-02,Utah Jazz,Atlanta Hawks,127,102,True
2022-02-02,Boston Celtics,Philadelphia 76ers,110,108,True
2022-02-02,Chicago Bulls,Atlanta Hawks,126,95,True
2022-02-02,Phoenix Suns,San Antonio Spurs,132,113,True
2022-02-02,Cleveland Cavaliers,Miami Heat,110,108,True
2022-02-03,Atlanta Hawks,Milwaukee Bucks,107,114,False
2022-02-03,Portland Trail Blazers,Philadelphia 76ers,104,105,False
2022-02-03,Detroit Pistons,Chicago Bulls,108,111,False
2022-02-03,Philadelphia 76ers,Dallas Mavericks,119,121,False
2022-02-03,Milwaukee Bucks,New Orleans Pelicans,117,111,True
2022-02-03,Philadelphia 76ers,Memphis Grizzlies,120,112,True
2022-02-04,Indiana Pacers,Milwaukee Bucks,122,106,True
2022-02-04,LA Clippers,Portland Trail Blazers,99,96,True
2022-02-04,Sacramento Kings,New Orleans Pelicans,98,128,False
2022-02-04,Toronto Raptors,Philadelphia 76ers,95,129,False
2022-02-04,Chicago Bulls,Philadelphia 76ers,91,134,False
2022-02-04,Indiana Pacers,Detroit Pistons,139,130,True
2022-02-04,Atlanta Hawks,Charlotte Hornets,107,117,False
2022-02-05,Atlanta Hawks,New Orleans Pelicans,118,106,True
2022-02-05,Phoenix Suns,LA Clippers,116,114,True
2022-02-05,LA Lakers,Memphis Grizzlies,125,117,True
2022-02-05,Philadelphia 76ers,Detroit Pistons,129,112,True
2022-02-05,Cleveland Cavaliers,Philadelphia 76ers,112,126,False
2022-02-05,Washington Wizards,Golden State Warriors,126,118,True
2022-02-05,Phoenix Suns,LA Clippers,107,85,True
2022-02-05,Phoenix Suns,Utah Jazz,112,106,True
2022-02-05,Indiana Pacers,Washington Wizards,112,131,False
2022-02-05,Oklahoma City Thunder,Memphis Grizzlies,113,109,True
2022-02-05,Chicago Bulls,Dallas Mavericks,108,96,True
2022-02-05,Boston Celtics,Minnesota Timberwolves,117,87,True
2022-02-06,Milwaukee Bucks,Utah Jazz,127,104,True
2022-02-06,Minnesota Timberwolves,Phoenix Suns,104,114,False
2022-02-06,Indiana Pacers,Toronto Raptors,109,119,False
2022-02-06,Minnesota Timberwolves,Cleveland Cavaliers,89,122,False
2022-02-06,Detroit Pistons,Milwaukee Bucks,111,109,True
2022-02-06,Portland Trail Blazers,Golden State Warriors,109,111,False
2022-02-06,New Orleans Pelicans,Boston Celtics,103,136,False
2022-02-06,Atlanta Hawks,LA Clippers,137,130,True
2022-02-06,Memphis Grizzlies,Toronto Raptors,102,128,False
2022-02-07,Minnesota Timberwolves,Brooklyn Nets,126,120,True
2022-02-07,Golden State Warriors,San Antonio Spurs,98,90,True
2022-02-07,Minnesota Timberwolves,Dallas Mavericks,118,122,False
2022-02-07,Indiana Pacers,Minnesota Timberwolves,110,122,False
2022-02-07,Indiana Pacers,Golden State Warriors,124,105,True
2022-02-08,Phoenix Suns,Golden State Warriors,115,103,True
2022-02-08,Minnesota Timberwolves,Utah Jazz,124,121,True
2022-02-08,Philadelphia 76ers,Milwaukee Bucks,101,114,False
2022-02-08,Utah Jazz,Sacramento Kings,103,109,False
2022-02-08,Brooklyn Nets,Portland Trail Blazers,112,106,True
2022-02-08,Utah Jazz,Sacramento Kings,120,106,True
2022-02-08,Phoenix Suns,Sacramento Kings,100,96,True
2022-02-08,Utah Jazz,Washington Wizards,100,103,False
2022-02-08,LA Clippers,Boston Celtics,92,123,False
2022-02-08,Washington Wizards,LA Clippers,92,114,False
2022-02-08,Minnesota Timberwolves,Oklahoma City Thunder,110,123,False
2022-02-08,Miami Heat,New Orleans Pelicans,125,98,True
2022-02-08,New Orleans Pelicans,Minnesota Timberwolves,94,102,False
2022-02-08,Golden State Warriors,Boston Celtics,113,114,False
2022-02-09,Philadelphia 76ers,Dallas Mavericks,108,128,False
2022-02-09,Boston Celtics,LA Clippers,115,85,True
2022-02-09,Oklahoma City Thunder,Utah Jazz,120,115,True
2022-02-09,Minnesota Timberwolves,Miami Heat,102,130,False
2022-02-09,Portland Trail Blazers,Washington Wizards,129,118,True
2022-02-09,Milwaukee Bucks,Washington Wizards,122,105,True
2022-02-09,Brooklyn Nets,Philadelphia 76ers,117,89,True
2022-02-09,Toronto Raptors,Oklahoma City Thunder,104,111,False
2022-02-09,Portland Trail Blazers,Toronto Raptors,104,100,True
2022-02-09,Miami Heat,Washington Wizards,130,100,True
2022-02-10,Washington Wizards,Minnesota Timberwolves,85,122,False
2022-02-10,Milwaukee Bucks,LA Clippers,90,85,True
2022-02-10,Minnesota Timberwolves,Phoenix Suns,120,109,True
2022-02-10,Utah Jazz,Sacramento Kings,110,98,True
2022-02-10,New Orleans Pelicans,Chicago Bulls,114,100,True
2022-02-10,Chicago Bulls,San Antonio Spurs,106,94,True
2022-02-10,New Orleans Pelicans,Brooklyn Nets,108,104,True
2022-02-10,Philadelphia 76ers,Milwaukee Bucks,116,112,True
2022-02-10,Brooklyn Nets,Cleveland Cavaliers,106,85,True
2022-02-10,Memphis Grizzlies,Golden State Warriors,120,126,False
2022-02-10,Golden State Warriors,Detroit Pistons,115,93,True
2022-02-11,Boston Celtics,Chicago Bulls,89,136,False
2022-02-11,Utah Jazz,Dallas Mavericks,114,118,False
2022-02-11,Brooklyn Nets,Minnesota Timberwolves,100,108,False
2022-02-11,Chicago Bulls,Dallas Mavericks,119,122,False
2022-02-11,Phoenix Suns,Sacramento Kings,101,99,True
2022-02-11,Dallas Mavericks,Cleveland Cavaliers,122,117,True
2022-02-11,Milwaukee Bucks,Memphis Grizzlies,107,123,False
2022-02-11,San Antonio Spurs,Portland Trail Blazers,109,94,True
2022-02-11,Oklahoma City Thunder,Portland Trail Blazers,114,103,True
2022-02-11,Phoenix Suns,Miami Heat,115,113,True
2022-02-12,Boston Celtics,Oklahoma City Thunder,119,124,False
2022-02-12,Minnesota Timberwolves,Milwaukee Bucks,113,110,True
2022-02-12,Washington Wizards,San Antonio Spurs,123,106,True
2022-02-12,Dallas Mavericks,Miami Heat,127,136,False
2022-02-12,Dallas Mavericks,Brooklyn Nets,117,115,True
2022-02-12,Miami Heat,New Orleans Pelicans,117,124,False
2022-02-12,Sacramento Kings,Utah Jazz,119,114,True
2022-02-12,Oklahoma City Thunder,Cleveland Cavaliers,114,106,True
2022-02-12,Boston Celtics,New Orleans Pelicans,119,92,True
2022-02-12,Utah Jazz,Washington Wizards,120,111,True
2022-02-12,Cleveland Cavaliers,Golden State Warriors,104,127,False
2022-02-12,Memphis Grizzlies,Miami Heat,108,126,False
2022-02-12,Utah Jazz,San Antonio Spurs,122,115,True
2022-02-13,Utah Jazz,Oklahoma City Thunder,91,118,False
2022-02-13,Boston Celtics,Oklahoma City Thunder,94,107,False
2022-02-13,Oklahoma City Thunder,Boston Celtics,132,125,True
2022-02-13,New Orleans Pelicans,Boston Celtics,104,123,False
2022-02-13,Chicago Bulls,Miami Heat,115,105,True
2022-02-13,Milwaukee Bucks,Chicago Bulls,120,114,True
2022-02-13,Portland Trail Blazers,Milwaukee Bucks,109,111,False
2022-02-13,Boston Celtics,Cleveland Cavaliers,100,108,False
2022-02-13,Utah Jazz,Golden State Warriors,105,106,False
2022-02-13,Washington Wizards,Utah Jazz,121,113,True
2022-02-14,Oklahoma City Thunder,San Antonio Spurs,125,93,True
2022-02-14,San Antonio Spurs,Washington Wizards,109,120,False
2022-02-14,Washington Wizards,San Antonio Spurs,109,106,True
2022-02-14,Miami Heat,Minnesota Timberwolves,115,104,True
2022-02-14,Oklahoma City Thunder,Cleveland Cavaliers,111,95,True
2022-02-14,Minnesota Timberwolves,Washington Wizards,119,114,True
2022-02-14,San Antonio Spurs,Cleveland Cavaliers,109,142,False
2022-02-14,Washington Wizards,Portland Trail Blazers,140,134,True
2022-02-14,Utah Jazz,Brooklyn Nets,105,102,True
2022-02-14,Golden State Warriors,New Orleans Pelicans,112,94,True
2022-02-14,Golden State Warriors,Cleveland Cavaliers,113,98,True
2022-02-14,Milwaukee Bucks,Portland Trail Blazers,111,94,True
2022-02-14,Oklahoma City Thunder,Golden State Warriors,133,99,True
2022-02-15,Cleveland Cavaliers,Utah Jazz,127,102,True
2022-02-15,Milwaukee Bucks,Brooklyn Nets,111,102,True
2022-02-15,Miami Heat,Milwaukee Bucks,111,121,False
2022-02-15,Washington Wizards,Portland Trail Blazers,122,119,True
2022-02-15,Brooklyn Nets,Utah Jazz,102,101,True
2022-02-15,Milwaukee Bucks,Golden State Warriors,123,98,True
2022-02-15,Miami Heat,Milwaukee Bucks,116,105,True
2022-02-15,Cleveland Cavaliers,Brooklyn Nets,122,102,True
2022-02-15,Miami Heat,Utah Jazz,127,107,True
2022-02-16,Utah Jazz,Brooklyn Nets,109,100,True
2022-02-16,Brooklyn Nets,Utah Jazz,114,92,True
2022-02-16,Brooklyn Nets,Utah Jazz,124,96,True
2022-02-16,Washington Wizards,Utah Jazz,137,115,True
2022-02-16,Utah Jazz,Washington Wizards,113,103,True
2022-02-16,Milwaukee Bucks,Utah Jazz,109,116,False
2022-02-16,Washington Wizards,Portland Trail Blazers,113,121,False
2022-02-16,Brooklyn Nets,Miami Heat,101,111,False
2022-02-16,Golden State Warriors,Brooklyn Nets,116,93,True
2022-02-16,Milwaukee Bucks,Miami Heat,92,121,False
2022-02-16,Cleveland Cavaliers,Milwaukee Bucks,117,109,True
2022-02-16,Oklahoma City Thunder,Utah Jazz,112,91,True
2022-02-16,Utah Jazz,Oklahoma City Thunder,113,119,False
2022-02-16,Golden State Warriors,Brooklyn Nets,103,97,True
2022-02-17,Washington Wizards,Utah Jazz,121,113,True
2022-02-17,Washington Wizards,Utah Jazz,98,118,False
2022-10-15,Orlando Magic,Miami Heat,116,109,True
2022-10-15,Chicago Bulls,Charlotte Hornets,114,105,True
2022-10-15,New York Knicks,Oklahoma City Thunder,99,118,False
2022-10-15,Miami Heat,Charlotte Hornets,116,105,True
